epoch,filename,val_loss,train_loss
000,hulccap_prefix-000.pt,3.242412965744734,3.2698007394962962
001,hulccap_prefix-001.pt,1.4555744212120771,1.4829733973351595
002,hulccap_prefix-002.pt,1.3242630437016487,1.3443889098004018
003,hulccap_prefix-003.pt,0.9945690603926778,1.0182393473628153
004,hulccap_prefix-004.pt,0.8166308039799333,0.8204614107853898
005,hulccap_prefix-005.pt,0.7381061892956495,0.7509318177945146
006,hulccap_prefix-006.pt,0.6931518511846662,0.6834295419889076
007,hulccap_prefix-007.pt,0.648568048607558,0.6368514444226416
008,hulccap_prefix-008.pt,0.6336398250423372,0.6131660800856593
009,hulccap_prefix-009.pt,0.5955423852428794,0.565211167680883
010,hulccap_prefix-010.pt,0.5296978433616459,0.5094966498490806
011,hulccap_prefix-011.pt,0.5237803086638451,0.4953237987381647
012,hulccap_prefix-012.pt,0.8742565582506359,0.7921908702991461
013,hulccap_prefix-013.pt,0.470561814494431,0.4488230136881736
014,hulccap_prefix-014.pt,0.4501283257268369,0.4186005155059779
015,hulccap_prefix-015.pt,0.4233202515169978,0.3899720524701745
016,hulccap_prefix-016.pt,0.45078537706285715,0.41974386879216846
017,hulccap_prefix-017.pt,0.45077198231592774,0.42261458668753366
018,hulccap_prefix-018.pt,0.4285810459405184,0.4015666744047979
019,hulccap_prefix-019.pt,0.4654630427248776,0.42133978055645
020,hulccap_prefix-020.pt,0.38487500231713057,0.3480487914750138
021,hulccap_prefix-021.pt,0.3555849543772638,0.31875575712165355
022,hulccap_prefix-022.pt,0.34525333857163787,0.2997801201737187
023,hulccap_prefix-023.pt,0.38657085970044136,0.3417444207308077
024,hulccap_prefix-024.pt,0.35550000006332994,0.3086739405293331
025,hulccap_prefix-025.pt,0.3824520790949464,0.33090542628200625
026,hulccap_prefix-026.pt,0.36990772653371096,0.31270565134342587
027,hulccap_prefix-027.pt,0.34267887147143483,0.2895851672345604
028,hulccap_prefix-028.pt,0.33003602223470807,0.26286360356852273
029,hulccap_prefix-029.pt,0.3569827666506171,0.2880704388068844
030,hulccap_prefix-030.pt,0.33528616302646697,0.2544604288269055
031,hulccap_prefix-031.pt,0.4122629682533443,0.33400764225799345
032,hulccap_prefix-032.pt,0.3828285257332027,0.3155581452579142
033,hulccap_prefix-033.pt,0.3943716837093234,0.3050845800623344
034,hulccap_prefix-034.pt,0.3471942718606442,0.252791617889642
035,hulccap_prefix-035.pt,0.3640506286174059,0.2672636786075396
036,hulccap_prefix-036.pt,0.3677130211144686,0.26650268925684634
037,hulccap_prefix-037.pt,0.4925169115886092,0.3432251276721093
038,hulccap_prefix-038.pt,0.3905929811298847,0.26867225278760787
039,hulccap_prefix-039.pt,0.45489967009052634,0.2759601276054561
040,hulccap_prefix-040.pt,0.35779553558677435,0.2126914369540051
041,hulccap_prefix-041.pt,0.4893910586833954,0.3114277810508217
042,hulccap_prefix-042.pt,0.6148938592523336,0.46670267877177657
043,hulccap_prefix-043.pt,0.4595368450973183,0.2545670833543082
044,hulccap_prefix-044.pt,0.42259168927557766,0.23552134702695865
045,hulccap_prefix-045.pt,0.5526004647836089,0.3666428225898297
046,hulccap_prefix-046.pt,0.4344188733957708,0.2532705351524635
047,hulccap_prefix-047.pt,0.5404016729444265,0.2867715997952167
048,hulccap_prefix-048.pt,0.4814322590827942,0.2642624450853309
049,hulccap_prefix-049.pt,0.47093211906030774,0.2160219120273709
