epoch,filename,val_loss,train_loss
000,hulccap_prefix-000.pt,0.901230620987275,0.9029062029071012
001,hulccap_prefix-001.pt,0.8532097585061017,0.6850563211961846
002,hulccap_prefix-002.pt,0.7431594405104133,0.5144308692873218
003,hulccap_prefix-003.pt,0.7742183401304132,0.4279704838590955
004,hulccap_prefix-004.pt,0.5757995028706158,0.42447474839010724
005,hulccap_prefix-005.pt,0.7039505883174784,0.3287758517580152
006,hulccap_prefix-006.pt,0.5892575501519091,0.3239788703600423
007,hulccap_prefix-007.pt,0.5901121400734958,0.3005574448576119
008,hulccap_prefix-008.pt,0.5008569600827554,0.32924857907724253
009,hulccap_prefix-009.pt,0.5166271456024226,0.29195262930600263
010,hulccap_prefix-010.pt,0.6240243096561993,0.2838619659148697
011,hulccap_prefix-011.pt,0.5320006021681953,0.2878682372579643
012,hulccap_prefix-012.pt,0.6171925865552005,0.2858155329070565
013,hulccap_prefix-013.pt,0.5791204067714074,0.27114167806818323
014,hulccap_prefix-014.pt,0.49950286833678975,0.26630107796981917
015,hulccap_prefix-015.pt,0.5629511852474773,0.273373059294751
016,hulccap_prefix-016.pt,0.4984101561062476,0.28145162761211395
017,hulccap_prefix-017.pt,0.5038574780611431,0.26147065916654777
