epoch,filename,val_loss,train_loss
000,hulccap_abc_prefix-epoch-000-000.pt,7,7
001,hulccap_prefix-000.pt,0.7568007216348753,0.7377050209765467
002,hulccap_prefix-001.pt,0.7597460871214395,0.5506093113614409
003,hulccap_prefix-002.pt,0.7296096433650007,0.46493541986350245
004,hulccap_prefix-003.pt,0.6044403841862311,0.394726775996637
005,hulccap_prefix-004.pt,0.5292777871037577,0.35014135265510354
006,hulccap_prefix-005.pt,0.5617083140781948,0.31920978554943263
007,hulccap_prefix-006.pt,0.5031990444922185,0.3127395892803301
008,hulccap_prefix-007.pt,0.5187779409544808,0.3029208198989798
009,hulccap_prefix-008.pt,0.5267241210727901,0.3037577527181414
010,hulccap_prefix-010.pt,0.5008166098332667,0.2874798288881379
011,hulccap_prefix-011.pt,0.4419470724168715,0.2922306615934276
012,hulccap_prefix-012.pt,0.5072050219053751,0.2889510960486911
013,hulccap_prefix-013.pt,0.448703449178528,0.2823715194559737
014,hulccap_prefix-014.pt,0.4717190131381318,0.28075948104562376
015,hulccap_prefix-015.pt,0.4718290387274145,0.27788507485349706
016,hulccap_prefix-016.pt,0.458383736374614,0.2671617872763
017,hulccap_prefix-017.pt,0.4978530043429071,0.27578461441217655
018,hulccap_prefix-018.pt,0.46452700011022796,0.2713389288159025
019,hulccap_prefix-019.pt,0.4632213279441163,0.26239881150474487
020,hulccap_prefix-020.pt,0.4509766190261631,0.26198830656557276
021,hulccap_prefix-021.pt,0.4880859447377069,0.2592642522598273
022,hulccap_prefix-022.pt,0.5057551582435985,0.2695655836254958
023,hulccap_prefix-023.pt,0.5263089183922652,0.25604142664662943
024,hulccap_prefix-024.pt,0.49374519468663813,0.24899227318147685
025,hulccap_prefix-025.pt,0.5590797891983619,0.2543844687058622
026,hulccap_prefix-026.pt,0.5980122950705853,0.2528338253698093
027,hulccap_prefix-027.pt,0.5932265339971898,0.24232266158265556
028,hulccap_prefix-028.pt,0.5295800494623708,0.24205801115940082
029,hulccap_prefix-029.pt,0.49185242724942635,0.25384025294708723
030,hulccap_prefix-030.pt,0.5069695436037503,0.24355238852084884
031,hulccap_prefix-031.pt,0.6032452671737462,0.23649592629615093
032,hulccap_prefix-032.pt,0.5781754746541872,0.22930839982808837
033,hulccap_prefix-033.pt,0.47710545442916535,0.22610733246043224
034,hulccap_prefix-034.pt,0.5778021861563672,0.2316029861319385
035,hulccap_prefix-035.pt,0.5801874255086039,0.22430072775823157
036,hulccap_prefix-036.pt,0.5911924357597644,0.22133412991194118
037,hulccap_prefix-037.pt,0.6787681183317206,0.22045392474072092
038,hulccap_prefix-038.pt,0.5828861990472772,0.20866022159989248
039,hulccap_prefix-039.pt,0.6232269272044465,0.2113096338440508
040,hulccap_prefix-040.pt,0.5991075255058624,0.20310437509277524
