epoch,filename,val_loss,train_loss
000,hulccap_prefix-000.pt,3.3687204271554947,3.4110941738354454
001,hulccap_prefix-001.pt,1.428261935710907,1.461073006796317
002,hulccap_prefix-002.pt,0.9894116502255201,0.9963021168827639
003,hulccap_prefix-003.pt,0.8067543413490057,0.8051252379967044
004,hulccap_prefix-004.pt,0.7814251827076077,0.7841168226111344
005,hulccap_prefix-005.pt,0.6020547952502966,0.599592386190765
006,hulccap_prefix-006.pt,0.6059036329388618,0.5834922826735773
007,hulccap_prefix-007.pt,0.48265845235437155,0.4646348730425968
008,hulccap_prefix-008.pt,0.5026835072785616,0.4734291552197525
009,hulccap_prefix-009.pt,0.44596139807254076,0.4249682721690597
010,hulccap_prefix-010.pt,0.40650795912370086,0.3834235736885546
011,hulccap_prefix-011.pt,0.3808463881723583,0.3543756847441011
012,hulccap_prefix-012.pt,0.3825431289151311,0.3594242787435419
013,hulccap_prefix-013.pt,0.38113861298188567,0.35219834322498594
014,hulccap_prefix-014.pt,0.349196239374578,0.32448856588278974
015,hulccap_prefix-015.pt,0.34728326415643096,0.31445030872695545
016,hulccap_prefix-016.pt,0.3510826686397195,0.32719255988471607
017,hulccap_prefix-017.pt,0.3317069625481963,0.3057758381526418
018,hulccap_prefix-018.pt,0.3293424788862467,0.2974361840438249
019,hulccap_prefix-019.pt,0.3312854340765625,0.2858341705761966
020,hulccap_prefix-020.pt,0.31832042383030057,0.27598407219317844
021,hulccap_prefix-021.pt,0.31801747041754425,0.2746278926776577
022,hulccap_prefix-022.pt,0.32075298577547073,0.27119818459790074
023,hulccap_prefix-023.pt,0.33115841867402196,0.2687916508716215
024,hulccap_prefix-024.pt,0.30893030297011137,0.26082568915090826
025,hulccap_prefix-025.pt,0.30848327139392495,0.2543599868303519
026,hulccap_prefix-026.pt,0.32467146636918187,0.2599693388211022
027,hulccap_prefix-027.pt,0.32399248564615846,0.2585158925097308
028,hulccap_prefix-028.pt,0.3613972768653184,0.2662854116189517
029,hulccap_prefix-029.pt,0.34140843944624066,0.2698039725376438
030,hulccap_prefix-030.pt,0.32748138904571533,0.24984626017069891
031,hulccap_prefix-031.pt,0.31647607986815274,0.240356444569763
032,hulccap_prefix-032.pt,0.32731436798349023,0.24025706227323348
033,hulccap_prefix-033.pt,0.3260722737759352,0.24176647692825937
034,hulccap_prefix-034.pt,0.36566095682792366,0.26553654805336413
035,hulccap_prefix-035.pt,0.3421277101151645,0.24407247094164755
036,hulccap_prefix-036.pt,0.33120229840278625,0.2236000837938065
037,hulccap_prefix-037.pt,0.3262035876978189,0.21470490023725872
038,hulccap_prefix-038.pt,0.371139554772526,0.23709251032997145
039,hulccap_prefix-039.pt,0.3348504814784974,0.20862301840589054
040,hulccap_prefix-040.pt,0.3550557771231979,0.21786105340329287
041,hulccap_prefix-041.pt,0.3523636842146516,0.2082891801250315
042,hulccap_prefix-042.pt,0.37282733619213104,0.2118154575241689
043,hulccap_prefix-043.pt,0.349765992956236,0.19237493463672953
044,hulccap_prefix-044.pt,0.3612858667038381,0.1978995675609862
045,hulccap_prefix-045.pt,0.36608032090589404,0.18757516257116727
046,hulccap_prefix-046.pt,0.35739323450252414,0.1808158241653368
047,hulccap_prefix-047.pt,0.3603324156720191,0.1786172420389927
048,hulccap_prefix-048.pt,0.37966016842983663,0.1780125247633717
049,hulccap_prefix-049.pt,0.42693385388702154,0.18573114145953337
